ID;Field;OldValue;NewValue
KDU-O-03263;KDUBOKBO;-1.35;-0.95
KDU-O-01156;KDUBOKBO;NaN;-2.93333333333333
KDU-O-01156;KDUBOKBE;NaN;-2.93333333333333
KDU-O-01156;KDUHGA1;NaN;0.5
KDU-O-00350;KDULENGT;NaN;10
KDU-O-01172;KDUHGA1;NaN;0.5
KDU-O-01576;KDULENGT;NaN;10
KDU-O-01544;KDUHGA1;NaN;0.3
KDU-O-01489;KDUHGA1;NaN;0.3
KDU-O-00728;KDUBOKBO;-3.64;-3.3
KDU-O-01151;KDUHGA1;NaN;0.3
KDU-O-01452;KDUBOKBO;-3.57;-1.6
KDU-O-00248;KDUBOKBO;NaN;-1.37
KDU-O-00248;KDUBOKBE;NaN;-1.37
