ID;Field;OldValue;NewValue
KIN-O-18600;KSTMIKHO;0;-1.95
KIN-O-18680;KSTMIKHO;0;-3.7
KIN-O-18730;KSTMIKHO;0;-4.3
KIN-O-18670;KSTMIKHO;0;-3.7
KIN-O-18660;KSTMIKHO;0;-2.4
KIN-O-18700;KSTMIKHO;0;-4.3
KIN-O-18620;KSTMIKHO;0;-1.95
