,slope,bottomwidth,bottomlevel,maximumflowwidth,roughnesstype,roughnessvalue
OAF-O-00071,1.5,2.4999999999999996,-2.32,11.12,2,0.03
OAF-O-00074,1.5,1.5,-1.34,8.940000000000001,2,0.03
OAF-O-00168,2.0,6.5,-5.11,21.0,2,0.03
OAF-O-02477,2.0,6.5,-5.800000000000001,12.5,2,0.03
OAF-O-00135,2.0,5.5,-5.49,20.0,2,0.03
OAF-O-00136,2.0,6.5,-5.36,20.0,2,0.03
OAF-O-00137,1.5,0.6,-4.02,7.52,2,0.03
OAF-O-00138,1.5,0.6,-3.85,7.84,2,0.03
OAF-O-00139,1.5,1.2,-4.0,9.190000000000001,2,0.03
OAF-O-00140,1.5,1.2,-4.27,8.98,2,0.03
OAF-O-00141,1.5,1.4,-4.28,9.280000000000001,2,0.03
OAF-O-00146,1.5,0.7,-3.3000000000000003,9.52,2,0.03
OAF-O-00147,1.5,0.7,-3.37,10.04,2,0.03
OAF-O-00127,1.5,3.0,-3.89,13.2,2,0.03
OAF-O-00128,1.5,3.0,-4.21,7.0,2,0.03
OAF-O-00130,1.5,0.6,-3.01,8.14,2,0.03
OAF-O-00134,1.5,0.7,-3.42,8.559999999999999,2,0.03
OAF-O-01222,0.75,0.5,-3.7,4.0,2,0.03
OAF-O-00132,1.5,0.9,-3.47,10.14,2,0.03
OAF-O-00133,2.0,5.5,-5.43,20.0,2,0.03
OAF-O-00113,1.5,1.0,-2.15,9.0,2,0.03
OAF-O-00114,1.5,1.1,-1.98,9.85,2,0.03
OAF-O-00115,1.5,0.7,-2.98,8.26,2,0.03
OAF-O-00117,1.5,0.8,-3.25,8.51,2,0.03
OAF-O-00094,1.5,4.0,-3.97,17.2,2,0.03
OAF-O-02370,1.5,0.5,-4.199999999999999,5.5,2,0.03
OAF-O-01151,0.75,0.5,-3.7,4.0,2,0.03
OAF-O-00782,1.5,1.5,-4.59,14.4,2,0.03
OAF-O-00838,2.2,4.5,0.0,18.400000000000002,2,0.03
OAF-O-00095,1.5,0.6,-2.54,9.280000000000001,2,0.03
OAF-O-00096,1.5,4.0,-4.34,16.4,2,0.03
OAF-O-02480,2.0,6.5,-5.800000000000001,12.5,2,0.03
OAF-O-02393,1.5,0.5,-1.9,5.5,2,0.03
OAF-O-00076,1.5,1.5,-1.6500000000000001,9.95,2,0.03
OAF-O-00077,1.5,2.4999999999999996,-2.37,12.200000000000001,2,0.03
OAF-O-02383,0.75,0.5,-1.95,4.0,2,0.03
OAF-O-00893,1.5,2.4999999999999996,-2.11,10.809999999999999,2,0.03
OAF-O-01090,1.5,1.0,-2.03,12.999999999999998,2,0.03
OAF-O-02395,1.5,0.7,-2.58,5.7,2,0.03
OAF-O-00121,1.5,1.9,-3.77,12.52,2,0.03
OAF-O-00122,1.5,3.0,-4.0,12.48,2,0.03
OAF-O-00123,1.5,0.7,-2.77,8.33,2,0.03
OAF-O-00124,1.5,0.7,-2.72,7.55,2,0.03
OAF-O-00119,1.5,1.2,-3.58,8.9,2,0.03
OAF-O-00120,1.5,0.8,-2.87,8.39,2,0.03
OAF-O-00125,1.5,3.0,-3.74,12.0,2,0.03
OAF-O-00126,1.5,3.0,-3.78,12.84,2,0.03
OAF-O-00080,1.5,0.6,-0.91,7.57,2,0.03
OAF-O-00131,1.5,0.7,-3.67,9.36,2,0.03
OAF-O-00102,1.5,0.7,-2.19,8.41,2,0.03
OAF-O-00103,1.5,1.1,-3.41,8.43,2,0.03
OAF-O-00104,1.5,0.7,-2.13,7.51,2,0.03
OAF-O-00110,1.5,4.999999999999999,-4.55,17.0,2,0.03
OAF-O-00111,1.5,4.999999999999999,-4.92,18.0,2,0.03
OAF-O-00112,1.5,4.999999999999999,-4.89,17.0,2,0.03
OAF-O-00118,1.5,1.2,-3.24,10.2,2,0.03
OAF-O-00088,1.5,0.7,-2.79,9.29,2,0.03
OAF-O-00089,1.5,0.7,-3.68,8.64,2,0.03
OAF-O-00090,1.5,0.7,-2.68,9.9,2,0.03
OAF-O-00081,1.5,0.9,-2.25,10.629999999999999,2,0.03
OAF-O-02415,0.75,0.5,-4.3,4.0,2,0.03
OAF-O-00143,1.5,1.5,-4.25,11.16,2,0.03
OAF-O-00083,1.5,0.9,-2.81,8.42,2,0.03
OAF-O-00078,1.5,2.3000000000000003,-3.49,11.92,2,0.03
OAF-O-00085,1.5,2.8,-3.79,11.7,2,0.03
OAF-O-00084,2.0,0.5,-1.89,6.5,2,0.03
OAF-O-00217,0.75,0.5,-3.85,4.0,2,0.03
OAF-O-00215,0.75,0.5,-2.25,4.0,2,0.03
OAF-O-00216,1.5,0.5,-1.89,5.5,2,0.03
OAF-O-00213,2.0,0.5,-1.89,6.5,2,0.03
OAF-O-00214,2.0,0.5,-1.89,6.5,2,0.03
OAF-O-00218,0.75,0.5,-2.25,10.700000000000001,2,0.03
OAF-O-00086,1.5,3.0,-3.79,12.36,2,0.03
OAF-O-00091,1.5,0.9,-3.23,9.219999999999999,2,0.03
OAF-O-00092,1.5,1.5,-3.65,11.47,2,0.03
OAF-O-02387,0.75,0.5,-1.95,4.0,2,0.03
OAF-O-02386,0.75,0.5,-2.25,4.0,2,0.03
OAF-E-00466,2.4999999999999996,17.0,0.0,47.0,2,0.03
